filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
43465.txt, 468, 13.7647058824,12.0,8.50909090909,1.61764705882,1.66666666667,1.41025641026,0.272727272727,0.384615384615,1.14705882353,0.307692307692,0.230769230769,0.163636363636,1.0,0.709090909091
45327.txt, 57, 19.0,19.0,8.14285714286,2.33333333333,3.33333333333,2.33333333333,0.714285714286,1.66666666667,1.0,0.666666666667,0.0,0.0,3.33333333333,1.42857142857
20783.txt, 46, 15.3333333333,15.3333333333,7.66666666667,2.0,2.66666666667,2.0,0.5,1.0,1.0,0.666666666667,0.0,0.0,0.666666666667,0.333333333333
17927.txt, 1, 1.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
42361.txt, 29, 14.5,9.66666666667,7.25,2.0,2.33333333333,1.33333333333,0.25,0.333333333333,1.5,0.333333333333,0.0,0.0,1.33333333333,1.0
23591.txt, 161, 23.0,23.0,10.0625,2.28571428571,3.0,2.28571428571,0.5,1.14285714286,1.0,0.428571428571,0.714285714286,0.3125,2.71428571429,1.1875
43713.txt, 10, 10.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
41982.txt, 11, 11.0,11.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
47557.txt, 26, 26.0,26.0,13.0,2.0,3.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0
13382.txt, 14, 14.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
20793.txt, 116, 14.5,14.5,7.25,2.0,2.25,2.0,0.375,0.75,1.0,0.375,0.125,0.0625,1.125,0.5625
18225.txt, 25, 25.0,25.0,12.5,2.0,3.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,4.0,2.0
7197.txt, 3, 3.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
2915.txt, 119, 119.0,119.0,7.93333333333,15.0,22.0,15.0,0.6,9.0,1.0,1.0,1.0,0.0666666666667,11.0,0.733333333333
27809.txt, 44, 11.0,11.0,11.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.25,0.25
25688.txt, 194, 27.7142857143,17.6363636364,12.125,2.28571428571,2.81818181818,1.45454545455,0.5,0.727272727273,1.57142857143,0.545454545455,0.272727272727,0.1875,1.72727272727,1.1875
48199.txt, 102, 10.2,10.2,9.27272727273,1.1,1.6,1.1,0.0909090909091,0.1,1.0,0.1,0.1,0.0909090909091,1.9,1.72727272727
17793.txt, 11, 11.0,11.0,0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,0,0.0,0
2905.txt, 215, 30.7142857143,23.8888888889,16.5384615385,1.85714285714,1.88888888889,1.44444444444,0.307692307692,0.444444444444,1.28571428571,0.333333333333,0.888888888889,0.615384615385,3.44444444444,2.38461538462
48189.txt, 45, 15.0,9.0,9.0,1.66666666667,1.6,1.0,0.0,0.0,1.66666666667,0.0,0.2,0.2,1.6,1.6
33059.txt, 11, 11.0,11.0,11.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
48005.txt, 17, 17.0,0,17.0,1.0,0,0,1.0,0,0.0,0,0,0.0,0,1.0
