filename,nwords,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
32641.txt, 46, 2.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21642.txt, 188, 2.33333333333,1.15470053838,0.0833333333333,0.0833333333333,0.0,0.0,0.166666666667,0.138888888889,0.0,0.0,0.0,0.0,0.5,0.0,0.0277777777778,0.138888888889,0.0833333333333,0.0,0.611111111111,0.0,0.0,0.0,0.277777777778,0.0,0.0,0.0,0.0555555555556,0.0,0.138888888889,0.138888888889,0.0,0.166666666667
18786.txt, 131, 2.66666666667,1.10554159679,0.0555555555556,0.222222222222,0.0,0.0,0.0555555555556,0.0555555555556,0.0,0.0,0.0,0.0,0.222222222222,0.111111111111,0.0,0.111111111111,0.111111111111,0.0,0.833333333333,0.0,0.0,0.0,0.444444444444,0.0555555555556,0.0,0.0,0.0555555555556,0.0,0.333333333333,0.277777777778,0.0,0.0
37896.txt, 26, 3.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.25,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
34265.txt, 17, 3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1000.txt, 106, 2.78571428571,1.31901323662,0.214285714286,0.0714285714286,0.0,0.0,0.0714285714286,0.142857142857,0.0,0.0,0.0,0.0,0.571428571429,0.214285714286,0.0,0.0714285714286,0.0714285714286,0.0,0.928571428571,0.0,0.142857142857,0.0,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0714285714286,0.0714285714286,0.0,0.0
4626.txt, 169, 2.53125,0.828567098973,0.15625,0.0625,0.0,0.0,0.25,0.0625,0.0,0.0,0.0625,0.0,0.34375,0.03125,0.0,0.0625,0.09375,0.0,0.9375,0.0,0.03125,0.0,0.1875,0.03125,0.0,0.0,0.03125,0.0,0.1875,0.03125,0.0,0.0625
35617.txt, 14, 2.5,1.11803398875,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45830.txt, 201, 2.375,1.05326872165,0.09375,0.0625,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.21875,0.15625,0.03125,0.78125,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.15625,0.0,0.09375,0.34375,0.0,0.0625
23667.txt, 202, 2.63636363636,0.979120874024,0.151515151515,0.0909090909091,0.0,0.0,0.030303030303,0.181818181818,0.0,0.0,0.0606060606061,0.0,0.484848484848,0.0,0.030303030303,0.030303030303,0.212121212121,0.0606060606061,0.848484848485,0.030303030303,0.0,0.0,0.121212121212,0.0,0.0,0.030303030303,0.0909090909091,0.0,0.181818181818,0.151515151515,0.030303030303,0.0606060606061
15450.txt, 29, 3.33333333333,0.471404520791,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.333333333333,0.666666666667,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.666666666667,0.0
13885.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20475.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24631.txt, 58, 2.28571428571,0.880630571853,0.428571428571,0.0,0.0,0.0,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.857142857143,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.142857142857
8192.txt, 7, 1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0
14032.txt, 37, 2.4,1.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2
20465.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5777.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21361.txt, 12, 1.75,1.47901994577,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0
10068.txt, 9, 3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9696.txt, 118, 2.45,1.20312094155,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.55,0.15,0.0,0.15,0.1,0.0,0.75,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.15
5767.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23469.txt, 255, 2.86666666667,1.51437555888,0.155555555556,0.222222222222,0.0,0.0222222222222,0.155555555556,0.0,0.0222222222222,0.0,0.0888888888889,0.0,0.466666666667,0.0,0.0,0.244444444444,0.0444444444444,0.288888888889,0.688888888889,0.0666666666667,0.0222222222222,0.0,0.0888888888889,0.0,0.0,0.0,0.2,0.0,0.0888888888889,0.511111111111,0.0444444444444,0.155555555556
10078.txt, 8, 2.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37544.txt, 716, 2.8021978022,1.2244736947,0.021978021978,0.0769230769231,0.021978021978,0.010989010989,0.0879120879121,0.164835164835,0.010989010989,0.0,0.043956043956,0.0,0.505494505495,0.0,0.0,0.142857142857,0.120879120879,0.010989010989,0.703296703297,0.0879120879121,0.021978021978,0.0,0.472527472527,0.0,0.0,0.0,0.0989010989011,0.0,0.120879120879,0.131868131868,0.0879120879121,0.0549450549451
15163.txt, 226, 2.68965517241,1.34172941092,0.103448275862,0.103448275862,0.0689655172414,0.0,0.0344827586207,0.103448275862,0.0,0.0,0.0344827586207,0.0,0.379310344828,0.0,0.0,0.0689655172414,0.0344827586207,0.0,0.586206896552,0.103448275862,0.0,0.0,0.51724137931,0.0,0.0344827586207,0.0,0.206896551724,0.0,0.275862068966,0.241379310345,0.137931034483,0.0
44971.txt, 9, 3.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
27100.txt, 9, 3.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
6330.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
